Direction,Left_X,Left_Y,Right_X,Right_Y
CENTER,0.49990272676247194,0.43501016888505245,0.575469393507571,0.43919600596511704
CENTER,0.49503522868910016,0.43600044597366067,0.576475828310387,0.4393180643334535
CENTER,0.4909763288165098,0.4326898253655805,0.569828383218079,0.4316453077647098
CENTER,0.4896299713647565,0.43333058965152005,0.5669472532083553,0.43307930594434574
CENTER,0.49008386987704583,0.43611698161717255,0.5704664639183454,0.4350201030199498
CENTER,0.48797512666710485,0.437008010542012,0.5718039770356176,0.4352806655471674
CENTER,0.4887191810508942,0.4355644654250101,0.5710375549494944,0.4341050277371943
CENTER,0.49074502300954836,0.4349648858452758,0.5720151271396614,0.4305617529575043
CENTER,0.4922475008933564,0.43660460089389186,0.5720381843116172,0.432845851214196
CENTER,0.49222822145771067,0.4377290709137241,0.5720377230337506,0.43500383468689974
CENTER,0.4910331136992167,0.4414143480719481,0.5745433363435959,0.4375522845799385
CENTER,0.49131816680277896,0.44212157321079726,0.5680502573705104,0.4382000848587689
CENTER,0.48978032309769115,0.4411771061747227,0.5698613900942197,0.43775669290343866
CENTER,0.49394104260970084,0.44179204288006535,0.5687445989385603,0.4361969519580648
CENTER,0.49473673375322913,0.4419186430077757,0.5711838330857651,0.4358258563558314
CENTER,0.5011472695737988,0.442406080611712,0.5714821441351186,0.4403153733887726
CENTER,0.4971296073104951,0.443322965201162,0.5708478204498688,0.44127152038985057
CENTER,0.4929513771756277,0.4469427131595984,0.5646563133700802,0.4431751835801141
CENTER,0.4945829609592466,0.4488720540864026,0.5553265773850623,0.4448165218486346
CENTER,0.4912783936916219,0.45095298195260397,0.5576700927829316,0.446692733541156
CENTER,0.49150418553215447,0.4515283292853756,0.5606448683115314,0.44837087706580403
CENTER,0.4978032550354611,0.4517232430988077,0.5666595715432345,0.44848372932824393
CENTER,0.49736500579374276,0.45294486995869204,0.5651316987909133,0.4480848559318115
CENTER,0.49906558037135307,0.45224558627041667,0.5708287890757443,0.44633257904652685
CENTER,0.49964917934670033,0.4549393016400311,0.5766480605408292,0.45036344624193636
CENTER,0.5005513924411328,0.4516276808804352,0.5759500059769692,0.44782747440708687
CENTER,0.4987360524780542,0.4510374487367597,0.5762203717549351,0.448406730932274
CENTER,0.4877968139810526,0.4501353147385672,0.5765643394005252,0.44710413474291644
CENTER,0.48979806370006307,0.45514409615960816,0.5686077018150513,0.4474328043853854
CENTER,0.489472245228999,0.4540052253206059,0.5680412182210033,0.44677779642852533
CENTER,0.49005121491892906,0.45567362150731155,0.5670404446414014,0.4480730868643923
CENTER,0.48633355032853554,0.45582212449291354,0.5718743681187441,0.4458962469055691
CENTER,0.486990644762788,0.46067463202009196,0.573177204563349,0.4581508953245892
CENTER,0.4998371603385665,0.4640889554990723,0.5820529397312979,0.45861872277513704
CENTER,0.4972264277113441,0.45480280742633017,0.5678954939302007,0.4475398100653039
CENTER,0.4934485417714613,0.4578555958302022,0.5682549382904668,0.45457048758140617
CENTER,0.4952484511082948,0.457314422043893,0.5721163462560577,0.4518221872265071
CENTER,0.4948022110480756,0.45728839649200886,0.5689582097715743,0.4459688889005318
CENTER,0.4939240651240406,0.45087875526233795,0.5701384017053097,0.44292491916322035
CENTER,0.49079689776863145,0.4522960557661633,0.5674541123721452,0.44440691613118916
CENTER,0.4912088891803171,0.4509155638108515,0.5687590442952057,0.44297799464266896
CENTER,0.4916427742566904,0.4454600750614728,0.5688681404849283,0.43718079990071246
CENTER,0.4914715792991032,0.4416291848908615,0.5687823282963282,0.43349602724177166
CENTER,0.49191420810486597,0.4341662943863553,0.569754244437119,0.42656492725649375
CENTER,0.48884677958732736,0.4384718406154573,0.5711882541957678,0.43110375124325145
CENTER,0.48938513081459745,0.4397863661557383,0.5697859314904729,0.43247377433332135
CENTER,0.48321349878899755,0.44715471145187113,0.5686689843819326,0.4342369416646317
CENTER,0.4892928266822644,0.4470330357750953,0.5705555345628159,0.4368414916051567
CENTER,0.484492250193767,0.44922115856776107,0.5678991144147747,0.43725808901716356
CENTER,0.4866325584391973,0.4536330097188144,0.5658452151423315,0.44053918394203584
CENTER,0.4841278518758231,0.4631026754410356,0.5706865970180722,0.4499864094924488
CENTER,0.48495649653817585,0.46484148866493613,0.5654709592013086,0.45036729521042973
CENTER,0.4853711545968512,0.4633144183237169,0.5662255200670633,0.446985446985447
CENTER,0.4905940660114596,0.4555396544271904,0.5707287045321404,0.4431660956174238
CENTER,0.5003923107100824,0.45025732986165273,0.5730471228378936,0.4409109468570691
CENTER,0.5005958510850466,0.4443462359036879,0.5689711699111095,0.4323525877158597
CENTER,0.4942680455954746,0.43370125618616584,0.5684076137810585,0.42123979034319264
CENTER,0.489199850454482,0.43929901560899387,0.5680770707795972,0.4271906033547545
CENTER,0.49078798344090707,0.44007553952149425,0.5716267949010714,0.4285539988842011
CENTER,0.49175588772227724,0.4405965978317798,0.5725725126390467,0.4318080388740336
CENTER,0.4916155013012446,0.44044705979774046,0.5703671451287651,0.4334557258680715
CENTER,0.4880702475949291,0.44094813090156515,0.5704783090199793,0.4352430720182083
CENTER,0.4865807233234914,0.4415327976851723,0.5707910445331315,0.43905949510058495
CENTER,0.48708819785625035,0.44090573118035215,0.5740982565076496,0.44098137464722686
CENTER,0.4866484722429698,0.44278926997844814,0.5740915189787001,0.44206569194841927
CENTER,0.483829383777323,0.44354437869822294,0.5759880091828402,0.44267486720148963
CENTER,0.4838300768250105,0.4417959830374202,0.5742820249836214,0.4413413405794334
CENTER,0.4833764133850145,0.4416882067432939,0.568711564105227,0.4389505488201314
CENTER,0.4877738043944105,0.4423835053677326,0.5654500674348643,0.43880579562785776
CENTER,0.48675871965999856,0.4444857665696887,0.5669224137354894,0.44105186969813537
CENTER,0.48311128941040177,0.4442039783709227,0.5721171303532703,0.4422239682261203
CENTER,0.4829215458620484,0.4444643054915213,0.5777490147096066,0.4426687449380358
CENTER,0.48528565466899337,0.4448358043366043,0.5780668355624966,0.44299191271547794
CENTER,0.4844535470179698,0.4444470829343354,0.5694560702153151,0.4418929855654472
CENTER,0.48475138674189117,0.44368128181039007,0.5668811279474929,0.44171742698323596
CENTER,0.48339384975289246,0.4432458810680195,0.5672666972964043,0.4411362756435075
CENTER,0.4798734410057373,0.43938140171134665,0.5659624173911671,0.43933370012906314
CENTER,0.48190436713137585,0.43914336057874975,0.5720762765233889,0.4387481525120687
CENTER,0.481494168043768,0.44243165875799656,0.5762553746393443,0.4469964142371095
CENTER,0.4851814680799483,0.4414434491146634,0.5758368479343104,0.4425390524083685
CENTER,0.4867896597220339,0.4409467329582353,0.5798623057896347,0.44243884823914176
CENTER,0.48013174927365304,0.4381614690307864,0.5805614310138605,0.4405082653430464
CENTER,0.47983167060842197,0.43599653864752835,0.5694097000030263,0.43529850557564415
CENTER,0.48018856009075545,0.4319179154825642,0.5693378246908452,0.4293894132733503
CENTER,0.48493097743972846,0.432023755139334,0.5863417617903945,0.4300688029442705
CENTER,0.48355076055969065,0.43518649404679305,0.5924985351782571,0.43622084946960965
CENTER,0.48217814098012896,0.4372483412224303,0.5933969165740917,0.44091325583641394
CENTER,0.48220059557824835,0.4372771148168,0.5956512178591072,0.4408570779320837
CENTER,0.48199320290465186,0.4390056722102836,0.6032373138623522,0.4423707985107638
CENTER,0.48557762069311616,0.43925857165480026,0.6009135719660571,0.4420530429158809
CENTER,0.4893474991465447,0.4400525228537227,0.5979434738226358,0.44362034992267996
CENTER,0.49166189576893127,0.43956198119668155,0.5956740946964523,0.44307188531353137
CENTER,0.48837703531096693,0.4402514339552316,0.5925243714030158,0.44640224161362596
CENTER,0.48979234573354297,0.44325002635754296,0.5910099639472095,0.44723754151952466
CENTER,0.4888817973381243,0.44240161807121275,0.5887760371448609,0.4467022696229161
CENTER,0.4864921014013179,0.44241487031252125,0.5911481404897314,0.4477531871868139
